date,city
01/02/1972,San Francisco
03/05/1972,San Francisco
03/22/1972,New York
03/23/1972,New York
03/27/1972,New York
03/28/1972,New York
04/07/1972,London
04/08/1972,London
04/11/1972,Newcastle
04/14/1972,København (Copenhagen)
04/24/1972,Dusseldorf
04/29/1972,Hamburg
05/07/1972,Wigan
05/11/1972,Rotterdam
05/13/1972,Lille
05/16/1972,Luxembourg
05/18/1972,Munich
05/23/1972,London
05/24/1972,London
05/26/1972,London
06/17/1972,Hollywood
07/16/1972,Hartford
07/18/1972,Jersey City
07/26/1972,Portland
08/12/1972,Sacramento
08/20/1972,San Jose
08/24/1972,Berkeley
09/09/1972,Hollywood
09/10/1972,Hollywood
09/15/1972,Boston
09/16/1972,Boston
09/17/1972,Baltimore
09/19/1972,Jersey City
09/21/1972,Philadelphia
09/26/1972,Jersey City
09/27/1972,Jersey City
09/30/1972,Washington
10/02/1972,Springfield
10/09/1972,San Francisco
10/17/1972,St. Louis
10/21/1972,Nashville
10/23/1972,Milwaukee
10/27/1972,Columbus
10/28/1972,Cleveland
10/30/1972,Detroit
11/13/1972,Kansas City
11/18/1972,Houston
11/22/1972,Austin
12/10/1972,San Francisco
12/11/1972,San Francisco
12/12/1972,San Francisco
12/15/1972,Long Beach
12/31/1972,San Francisco
